Country,AllCases,NewCases,AllDeaths,NewDeaths,AllRecovered,Continent,Accuracy*
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,False
Antigua and Barbuda,1.9637878273455553,,0.47712125471966244,,1.8808135922807914,North America,True
Aruba,2.7993405494535817,,0.47712125471966244,,2.0569048513364727,North America,True
Bahamas,2.975431808509263,,1.1760912590556813,,2.0530784434834195,North America,True
Barbados,2.1522883443830563,,0.8450980400142568,,2.0492180226701815,North America,True
Belize,2.247973266361807,1.3617278360175928,0.3010299956639812,,1.505149978319906,North America,True
Bermuda,2.1986570869544226,,0.9542425094393249,,2.1583624920952498,North America,True
British Virgin Islands,0.9542425094393249,,0.0,,0.8450980400142568,North America,True
Canada,5.07965870742208,,3.9536147416906404,,5.026757911929069,North America,False
Caribbean Netherlands,1.1139433523068367,,,,0.8450980400142568,North America,False
Cayman Islands,2.307496037913213,,0.0,,2.305351369446624,North America,True
Costa Rica,4.3778888057925744,,2.387389826338729,,3.8933733302460247,North America,True
Cuba,3.4837298990000236,,1.9444826721501687,,3.3909351071033793,North America,True
Curaçao,1.505149978319906,,0.0,,1.4771212547196624,North America,True
Dominica,1.255272505103306,,,,1.255272505103306,North America,False
Dominican Republic,4.905790485371851,,3.1231980750319988,,4.6523430550627145,North America,True
El Salvador,4.327747071252456,2.598790506763115,2.7558748556724915,0.8450980400142568,3.9945371042984976,North America,True
Greenland,1.146128035678238,,,,1.146128035678238,North America,False
Grenada,1.380211241711606,,,,1.3617278360175928,North America,False
Guadeloupe,2.5010592622177517,,1.146128035678238,,2.2695129442179165,North America,True
Guatemala,4.755775794756962,,3.346744054604849,,4.658860066006634,North America,True
Haiti,3.8836046609222925,1.1760912590556813,2.2624510897304293,,3.6974037232004875,North America,True
Honduras,4.680081571848349,2.621176281775035,3.177824971864682,1.0413926851582251,3.8227563329513905,North America,True
Jamaica,3.0132586652835167,0.9030899869919435,1.146128035678238,,2.8721562727482928,North America,True
Martinique,2.526339277389844,,1.2041199826559248,,1.9912260756924949,North America,True
Mexico,5.686489692482449,3.744918542441353,4.724300451611601,2.848189116991399,5.515864575132979,North America,True
Montserrat,1.1139433523068367,,0.0,,1.0791812460476249,North America,True
Nicaragua,3.591287265058499,,2.089905111439398,,3.4643404846276673,North America,True
Panama,4.877336785252073,,3.2211533219547053,,4.694692926331484,North America,True
Saint Barthelemy,1.1139433523068367,,,,0.7781512503836436,North America,False
Saint Kitts and Nevis,1.2304489213782739,,,,1.2304489213782739,North America,False
Saint Lucia,1.3979400086720377,,,,1.3979400086720377,North America,False
Saint Martin,1.8920946026904804,,0.47712125471966244,,1.6434526764861874,North America,True
Saint Pierre and Miquelon,0.6020599913279624,,,,0.0,North America,False
Saint Vincent and the Grenadines,1.7558748556724915,,,,1.7160033436347992,North America,False
Trinidad and Tobago,2.44870631990508,,0.9030899869919435,,2.1398790864012365,North America,True
Turks and Caicos,2.3344537511509307,,0.3010299956639812,,1.591064607026499,North America,True
USA,6.7203244693436,2.741151598851785,5.220633632523756,0.9542425094393249,6.434024577286347,North America,True
