Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,4.646550753640342,1.9395192526186185,3.2182728535714475,0.47712125471966244,4.548635059814751,Asia,1
Albania,4.486047734357825,,2.8175653695597807,,4.1633104889636865,Europe,1
Algeria,4.855228317229405,,3.34713478291002,,4.671746584203527,Africa,1
Andorra,3.7829024059746446,,1.8808135922807914,,3.709863317440399,Europe,1
Angola,4.150265086978703,,2.5224442335063197,,3.8489277132270785,Africa,1
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,0
Antigua and Barbuda,2.143014800254095,,0.6020599913279624,,2.103803720955957,North America,1
Argentina,6.130151648331772,,4.562673448975871,,6.0672620970208415,South America,1
Armenia,5.092180071315783,3.2219355998280053,3.278753600952829,1.4771212547196624,4.957865775742793,Asia,1
Aruba,3.6714505542124947,,1.6532125137753437,,3.659821158055705,North America,1
Australia,4.443888546777372,0.7781512503836436,2.957607287060095,,4.406693433796212,Australia/Oceania,0
Austria,5.371716047951984,3.8239955911559678,3.34713478291002,2.03342375548695,5.194467163561603,Europe,0
Azerbaijan,4.924248263919513,,3.0224283711854865,,4.774261423219321,Asia,1
Bahamas,3.8661691476337707,,2.2121876044039577,,3.7416242575038123,North America,1
Bahrain,4.931035575957512,,2.5276299008713385,,4.920352940547157,Asia,1
Bangladesh,5.646828989288806,3.3569814009931314,3.800854491503561,1.2304489213782739,5.554405563899469,Asia,0
Barbados,2.403120521175818,,0.8450980400142568,,2.3820170425748683,North America,1
Belarus,5.082235873613198,3.16345955176999,3.03382569395331,0.8450980400142568,5.00324074417655,Europe,1
Belgium,5.740571100830837,3.6509870943834453,4.181729284882683,2.2329961103921536,4.541479394657279,Europe,1
Belize,3.7005306569785916,1.7781512503836436,2.0086001717619175,0.3010299956639812,3.4382258076045296,North America,1
Benin,3.4647875196459372,,1.6334684555795864,,3.4114513421379375,Africa,1
Bermuda,2.3541084391474008,,0.9542425094393249,,2.3010299956639813,North America,1
Bhutan,2.5774917998372255,,,,2.552668216112193,Asia,0
Bolivia,5.157625980057402,2.271841606536499,3.9488529061997135,1.146128035678238,5.0744177888912025,South America,1
Bosnia and Herzegovina,4.885117992263192,,3.3330440298234874,,4.6131121016412875,Europe,1
Botswana,3.9819997141298784,,1.4913616938342726,,3.86308482532036,Africa,1
Brazil,6.7769254631331055,,5.22567362600722,,6.732996367484384,South America,1
British Virgin Islands,1.8512583487190752,,0.0,,1.845098040014257,North America,1
Brunei,2.1702617153949575,,0.47712125471966244,,2.161368002234975,Asia,0
Bulgaria,5.0585588739510525,,3.423081958297231,,4.522796221488767,Europe,1
Burkina Faso,3.4291060083326967,,1.8325089127062364,,3.39375064034808,Africa,1
Burundi,2.8068580295188172,,0.0,,2.7596678446896306,Africa,1
Cabo Verde,4.003546693102132,,2.0170333392987803,,3.980321586008756,Africa,1
Cambodia,2.482873583608754,,,,2.4638929889859074,Asia,0
Cameroon,4.371585011499013,,2.6384892569546374,,4.345902796476545,Africa,1
Canada,5.499348860943676,,4.051731196059849,,5.401906922345256,North America,0
Caribbean Netherlands,2.1986570869544226,0.0,0.47712125471966244,,2.1818435879447726,North America,1
Cayman Islands,2.413299764081252,0.0,0.3010299956639812,,2.385606273598312,North America,1
Central African Republic,3.6908160579809155,,1.7993405494535817,,3.284205067701794,Africa,1
Chad,3.2095150145426308,,2.0043213737826426,,3.1652443261253107,Africa,1
Channel Islands,3.0330214446829107,,1.6812412373755872,,2.9390197764486663,Europe,1
Chile,5.729174512594721,,4.174786417367337,,5.709163070665117,South America,1
China,4.936503689249529,1.2304489213782739,3.6659560294539566,,4.910907084463462,Asia,1
Colombia,6.088309771759016,,4.541092261684424,,6.053997176066812,South America,1
Comoros,2.77232170672292,,0.8450980400142568,,2.7505083948513462,Africa,1
Costa Rica,5.107993029094218,,3.2038484637462346,,4.896807205486456,North America,1
