Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,4.035829825252828,2.1931245983544616,2.510545010206612,0.3010299956639812,3.8025000677643934,Europe,0
Andorra,3.1142772965615864,,1.724275869600789,,2.9722028383790646,Europe,1
Austria,4.4948083274084745,2.8221680793680175,2.8739015978644615,0.0,4.415691010940724,Europe,1
Belarus,4.866824704428034,2.2764618041732443,2.864511081058392,0.7781512503836436,4.858555242671831,Europe,1
Belgium,4.952748866160744,2.7403626894942437,3.99638031323341,0.6989700043360189,4.270329397089858,Europe,1
Bosnia and Herzegovina,4.353030975765281,2.456366033129043,2.832508912706236,0.6989700043360189,4.183924351757001,Europe,1
Bulgaria,4.241421951711995,,2.846337112129805,,4.096005739715113,Europe,1
Channel Islands,2.8000293592441343,,1.6812412373755872,,2.7596678446896306,Europe,1
Croatia,4.111161659577588,2.4638929889859074,2.3180633349627615,0.3010299956639812,4.006123606211855,Europe,1
Czechia,4.491865743196048,,2.6473829701146196,,4.309076301822332,Europe,1
Denmark,4.277012939376528,2.5010592622177517,2.798650645445269,0.0,4.205988850752451,Europe,1
Estonia,3.4149733479708178,1.1760912590556813,1.806179973983887,,3.3469394626989906,Europe,1
Faroe Islands,2.6180480967120925,,,,2.6127838567197355,Europe,0
Finland,3.9278321328665817,1.591064607026499,2.5276299008713385,,3.8750612633917,Europe,1
France,5.536685934736161,,4.4884661054376895,,4.9470610295060045,Europe,0
Germany,5.409654206589628,2.6866362692622934,3.9736819185039836,0.3010299956639812,5.365300748637988,Europe,1
Gibraltar,2.509202522331103,0.0,,,2.4578818967339924,Europe,0
Greece,4.082066934285113,,2.4668676203541096,,3.5802405082653763,Europe,1
Hungary,4.008216801589691,2.677606952720493,2.7993405494535817,0.3010299956639812,3.6009728956867484,Europe,1
Iceland,3.333850145102545,0.6020599913279624,1.0,,3.3163897510731952,Europe,1
Ireland,4.479488932116182,,3.2506639194632436,,4.368547197567657,Europe,1
Isle of Man,2.5276299008713385,,1.380211241711606,,2.494154594018443,Europe,1
Italy,5.452062577420423,3.203304916138483,4.551291378328067,1.0,5.326100212738114,Europe,1
Latvia,3.1607685618611283,0.6989700043360189,1.5440680443502757,,3.0962145853464054,Europe,1
Liechtenstein,2.037426497940624,0.0,0.0,,2.0211892990699383,Europe,1
Lithuania,3.505014240084107,1.5563025007672873,1.9344984512435677,,3.307496037913213,Europe,1
Luxembourg,3.846522668416287,,2.093421685162235,,3.7987887139512493,Europe,1
Malta,3.3432115901797474,1.6232492903979006,1.146128035678238,,3.255995726722402,Europe,1
Moldova,4.620177711918963,2.7481880270062002,3.0437551269686796,1.0,4.461828549202336,Europe,1
Monaco,2.2068258760318495,,0.0,,2.0293837776852097,Europe,1
Montenegro,3.784902449886655,,2.0569048513364727,,3.6384892569546374,Europe,1
Netherlands,4.89493050903342,2.91539983521227,3.795810524667408,0.47712125471966244,N/A,Europe,0
North Macedonia,4.18791535464999,2.0827853703164503,2.8041394323353503,0.47712125471966244,4.110455024461015,Europe,0
Norway,4.071918810363806,1.7403626894942439,2.423245873936808,0.0,3.9707187037201894,Europe,1
Poland,4.860056372643241,2.7041505168397992,3.334252642334231,1.0791812460476249,4.763944347159184,Europe,1
Portugal,4.793273392340771,2.7671558660821804,3.2676409823459154,0.47712125471966244,4.637899814036665,Europe,1
Romania,4.998625456512862,3.1398790864012365,3.609060549930087,1.6720978579357175,4.612889769287484,Europe,1
Russia,6.019685279698439,3.729407796963068,4.2615721191144775,2.1072099696478683,5.9356951507478435,Europe,1
San Marino,2.858537197569639,,1.6232492903979006,,2.8208579894397,Europe,1
Serbia,4.506991818723615,1.7634279935629373,2.8627275283179747,0.0,4.490562417323426,Europe,1
Slovakia,3.704665185454529,2.250420002308894,1.568201724066995,,3.477265995424853,Europe,1
Slovenia,3.530071568837378,1.8864907251724818,2.130333768495006,,3.4183012913197452,Europe,1
Spain,5.735102850201946,,4.471702335979557,,N/A,Europe,0
Sweden,4.935477035458314,,3.7666358863102674,0.6020599913279624,N/A,Europe,0
Switzerland,4.660020722267922,2.6074550232146687,3.305351369446624,0.0,4.580924975675619,Europe,1
UK,5.554050403990823,3.4652340949880145,4.619176840766776,1.146128035678238,N/A,Europe,0
Ukraine,5.163197167003348,3.4119562379304016,3.480438147177817,1.6434526764861874,4.818733813431664,Europe,1
Vatican City,1.0791812460476249,,,,1.0791812460476249,Europe,0
