Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,0
Antigua and Barbuda,1.9777236052888478,0.0,0.47712125471966244,,1.9590413923210936,North America,1
Aruba,3.344588742578714,,1.0791812460476249,,2.9703468762300935,North America,1
Bahamas,3.368658712392227,,1.6989700043360187,,2.928907690243953,North America,1
Barbados,2.24551266781415,,0.8450980400142568,,2.173186268412274,North America,1
Belize,3.041787318971752,,1.1139433523068367,,2.380211241711606,North America,1
Bermuda,2.2355284469075487,,0.9542425094393249,,2.1958996524092336,North America,1
British Virgin Islands,1.6720978579357175,,0.0,,0.9030899869919435,North America,1
Canada,5.114751056635227,2.503790683057181,3.960851153719686,0.47712125471966244,5.061712525515534,North America,0
Caribbean Netherlands,1.2041199826559248,,,,0.8450980400142568,North America,0
Cayman Islands,2.311753861055754,,0.0,,2.3096301674258988,North America,1
Costa Rica,4.636538042936402,,2.656098202012832,,4.217799679947118,North America,1
Cuba,3.615529223637133,,1.9912260756924949,,3.5388249889379035,North America,1
Curaçao,1.8750612633917,0.6020599913279624,0.0,,1.591064607026499,North America,1
Dominica,1.3010299956639813,,,,1.255272505103306,North America,0
Dominican Republic,4.980580531349968,,3.2467447097238415,,4.842103516351924,North America,1
El Salvador,4.414973347970818,1.9822712330395684,2.8686444383948255,0.9030899869919435,4.179523067035285,North America,1
Greenland,1.146128035678238,,,,1.146128035678238,North America,0
Grenada,1.380211241711606,,,,1.380211241711606,North America,0
Guadeloupe,3.1344958558346736,,1.255272505103306,,2.526339277389844,North America,1
Guatemala,4.882854544651711,2.8536982117761744,3.447778009294621,1.146128035678238,4.808879123604319,North America,1
Haiti,3.9191304138606142,1.6334684555795864,2.322219294733919,0.6020599913279624,3.7686381012476144,North America,1
Honduras,4.796060646280333,2.8790958795000727,3.284205067701794,1.5563025007672873,4.047158001128309,North America,1
Jamaica,3.450557009418329,2.143014800254095,1.4313637641589874,0.47712125471966244,2.9542425094393248,North America,1
Martinique,2.877371345869774,,1.255272505103306,,1.9912260756924949,North America,1
Mexico,5.7860106450709,3.6920533650340808,4.818331484298138,2.7596678446896306,5.628378711236398,North America,1
Montserrat,1.1139433523068367,,0.0,,1.0791812460476249,North America,1
Nicaragua,3.6691308473733324,,2.1492191126553797,,3.4643404846276673,North America,1
Panama,4.97351577324098,,3.307496037913213,,4.829220122875367,North America,1
Saint Barthelemy,1.255272505103306,,,,1.1139433523068367,North America,0
Saint Kitts and Nevis,1.2304489213782739,,,,1.2304489213782739,North America,0
Saint Lucia,1.414973347970818,,,,1.414973347970818,North America,0
Saint Martin,2.3783979009481375,1.414973347970818,0.7781512503836436,0.0,1.8976270912904414,North America,1
Saint Pierre and Miquelon,0.6989700043360189,,,,0.6020599913279624,North America,0
Saint Vincent and the Grenadines,1.7853298350107671,,,,1.7558748556724915,North America,0
Trinidad and Tobago,3.2880255353883627,1.3222192947339193,1.4471580313422192,,2.845098040014257,North America,1
Turks and Caicos,2.7442929831226763,1.2304489213782739,0.6020599913279624,,2.342422680822206,North America,1
USA,6.799857534604178,4.224455364335568,5.279580258978164,2.5998830720736876,6.550203640384292,North America,1
