Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,5.0704885597079095,1.9912260756924949,3.492061604512599,0.47712125471966244,4.913262690278723,Africa,0
Angola,4.354703744625813,1.7160033436347992,2.733999286538387,0.3010299956639812,4.319709694287983,Africa,0
Benin,3.8640955734242475,,1.968482948553935,,3.809694358716924,Africa,1
Botswana,4.611489639323041,,2.7715874808812555,,4.567708461128549,Africa,1
Burkina Faso,4.107311745490674,,2.1760912590556813,,4.094994900944612,Africa,1
Burundi,3.464042205438811,,0.7781512503836436,,2.888179493918325,Africa,1
Cabo Verde,4.252148854818508,1.6989700043360187,2.2380461031287955,0.3010299956639812,4.216957207361097,Africa,0
Cameroon,4.75843496594688,,2.929929560084588,,4.714069775979028,Africa,1
Central African Republic,3.7197454925295768,,1.8573324964312685,,3.6952189189051508,Africa,1
Chad,3.66228551572213,0.7781512503836436,2.2174839442139063,0.0,3.6231458746379395,Africa,0
Comoros,3.570426178358973,0.8450980400142568,2.164352855784437,,3.5487578285737045,Africa,0
DR Congo,4.452169918535435,1.5185139398778875,2.8721562727482928,,4.408019369129767,Africa,0
Djibouti,3.9298785236567833,,1.8573324964312685,,3.8264635490928014,Africa,1
Egypt,5.310174822749711,,4.08361010516231,,5.192807113291702,Africa,1
Equatorial Guinea,3.8455940931600243,,2.012837224705172,,3.821840927200454,Africa,1
Eritrea,3.5229655954919865,,1.0,,3.485437481076301,Africa,1
Eswatini,4.239349539006136,0.47712125471966244,2.824776462475546,,4.220526483527043,Africa,0
Ethiopia,5.332820067359593,3.273695587930092,3.471731651480051,1.4313637641589874,5.209429219504441,Africa,0
Gabon,4.29804484260098,,2.0755469613925306,,4.228143607597742,Africa,1
Gambia,3.7407573233077707,,2.220108088040055,,3.7063763558396903,Africa,1
Ghana,4.957999746366688,,2.8739015978644615,,4.9473601895085295,Africa,1
Guinea,4.309736599109289,1.9344984512435677,2.113943352306837,0.0,4.241994489156781,Africa,0
Guinea-Bissau,3.5637183399656776,0.0,1.8195439355418688,0.0,3.478854967528663,Africa,0
Ivory Coast,4.650783334638871,2.1172712956557644,2.406540180433955,0.47712125471966244,4.623982835033883,Africa,0
Kenya,5.1429773055867996,2.9595183769729982,3.34713478291002,1.255272505103306,4.97397251985798,Africa,0
Lesotho,4.0296678026753225,,2.4983105537896004,,3.6504046698680317,Africa,1
Liberia,3.3100557377508912,,1.9294189257142926,,3.2785249647370174,Africa,1
Libya,5.210302464280586,3.0813473078041325,3.4372747974101237,1.724275869600789,5.173879420248288,Africa,0
Madagascar,4.407764695761827,2.4913616938342726,2.6570558528571038,0.6989700043360189,4.3533198442427095,Africa,0
Malawi,4.527127013839176,1.146128035678238,3.050379756261458,0.47712125471966244,4.486940280704696,Africa,0
Mali,4.024485667699167,2.1702617153949575,2.593286067020457,0.0,3.842546836495015,Africa,0
Mauritania,4.253265293690157,,2.6522463410033232,,4.234466663490261,Africa,1
Mauritius,3.0461047872460387,0.9030899869919435,1.0791812460476249,,2.8494194137968996,Africa,0
Mayotte,4.287980783522498,,2.2095150145426308,,3.4718781993072905,Africa,1
Morocco,5.697401108011069,2.5622928644564746,3.9469432706978256,0.9030899869919435,5.685670992089618,Africa,0
Mozambique,4.833268263810973,2.0569048513364727,2.893206753059848,,4.7568186104821395,Africa,0
Namibia,4.651181062444688,2.0293837776852097,2.7299742856995555,0.6020599913279624,4.626812393179787,Africa,0
Niger,3.7025166974381505,1.1139433523068367,2.27415784926368,,3.671913012441587,Africa,0
Nigeria,5.212488575407378,,3.313445370426414,,5.181423376238319,Africa,1
Rwanda,4.351834943477441,2.3783979009481375,2.4927603890268375,,4.312156191475623,Africa,0
Réunion,4.219741661046302,,2.060697840353612,,4.171082577357526,Africa,1
Senegal,4.590540910873103,,3.0265332645232967,,4.575349520222603,Africa,1
Seychelles,3.6324572921847245,,1.380211241711606,,3.587598729721245,Africa,1
Sierra Leone,3.600755149639618,0.0,1.8976270912904414,,3.450864692379766,Africa,0
Somalia,4.0712558776812955,2.4533183400470375,2.745855195173729,1.3010299956639813,3.6960941599952233,Africa,0
South Africa,6.190881642964257,2.6655809910179533,4.724169331472659,1.5185139398778875,6.169487218079412,Africa,0
South Sudan,4.011443562022075,1.0791812460476249,2.0530784434834195,0.0,3.9927743642553555,Africa,0
Sudan,4.47872517886946,,3.3144992279731516,,4.384066538075945,Africa,1
São Tomé and Príncipe,3.3502480183341627,,1.5440680443502757,,3.328583449714202,Africa,1
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,1
Togo,4.043912167101254,,2.041392685158225,,3.913866811896239,Africa,1
Tunisia,5.4150468377418735,3.232742062720737,3.952550293898202,1.5314789170422551,5.340513517088336,Africa,0
Uganda,4.612381153235321,,2.525044807036845,,4.606939998568596,Africa,1
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,1
Zambia,4.949048292315664,2.113943352306837,3.0863598306747484,0.6989700043360189,4.929766222399656,Africa,0
Zimbabwe,4.5672969802876375,1.0791812460476249,3.1832698436828046,0.0,4.540929812840949,Africa,0
