Country,AllCase,NewCase,AllDeath,NewDeath,AllRecovered,Continent,Accuracy*
Afghanistan,4.571347739941703,2.0293837776852097,3.1283992687178066,1.2041199826559248,4.421850615022958,Asia,1
Albania,3.8153120435243593,,2.3010299956639813,,3.5287881917748964,Europe,1
Algeria,4.552814172921466,,3.1179338350396413,,4.396548037987132,Africa,1
Andorra,2.9836262871245345,,1.7160033436347992,,2.9237619608287004,Europe,1
Angola,3.225050696138049,,1.8920946026904804,,2.7551122663950713,Africa,1
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,0
Antigua and Barbuda,1.9637878273455553,,0.47712125471966244,,1.8808135922807914,North America,1
Argentina,5.404607961609179,,3.67797175281074,,5.24297352014103,South America,1
Armenia,4.608451148762472,2.2041199826559246,2.904715545278681,0.8450980400142568,4.520575229285187,Asia,1
Aruba,2.7993405494535817,,0.47712125471966244,,2.0569048513364727,North America,1
Australia,4.336719832364342,2.499687082618404,2.519827993775719,1.255272505103306,4.084361758551405,Australia/Oceania,1
Austria,4.347232410084064,2.143014800254095,2.859138297294531,,4.303692727195117,Europe,1
Azerbaijan,4.528029216612985,1.9242792860618816,2.694605198933569,0.47712125471966244,4.489339625857985,Asia,1
Bahamas,2.975431808509263,,1.1760912590556813,,2.0530784434834195,North America,1
Bahrain,4.647353624901466,,2.2174839442139063,0.3010299956639812,4.614992075826426,Asia,1
Bangladesh,5.420785564049624,3.4765418090274287,3.540454613671412,1.5185139398778875,5.181763578960211,Asia,1
Barbados,2.1522883443830563,,0.8450980400142568,,2.0492180226701815,North America,1
Belarus,4.8388805602117015,1.7634279935629373,2.77232170672292,0.47712125471966244,4.814374135503189,Europe,1
Belgium,4.872855244704811,2.670245853074124,3.9947129854315704,0.8450980400142568,4.250224769901964,Europe,1
Belize,2.247973266361807,1.3617278360175928,0.3010299956639812,,1.505149978319906,North America,1
Benin,3.3012470886362113,1.8129133566428555,1.5797835966168101,,3.225567713439471,Africa,1
Bermuda,2.1986570869544226,,0.9542425094393249,,2.1583624920952498,North America,1
Bhutan,2.0530784434834195,0.47712125471966244,,,1.9867717342662448,Asia,0
Bolivia,4.962061384187691,3.2137832993353044,3.5696079675468244,1.8573324964312685,4.488874906285025,South America,1
Bosnia and Herzegovina,4.1675536211968245,2.322219294733919,2.6503075231319366,1.3424226808222062,3.924847632975537,Europe,1
Botswana,3.0277572046905536,,0.3010299956639812,,1.9030899869919435,Africa,1
Brazil,6.4853622044169486,,5.007990880728511,,6.335219524960683,South America,1
British Virgin Islands,0.9542425094393249,,0.0,,0.8450980400142568,North America,1
Brunei,2.1522883443830563,,0.47712125471966244,,2.1398790864012365,Asia,0
Bulgaria,4.130719636562953,,2.661812685537261,,3.9020028913507296,Europe,1
Burkina Faso,3.0806264869218056,,1.7323937598229686,,2.9929950984313414,Africa,1
Burundi,2.61066016308988,,0.0,,2.4983105537896004,Africa,1
Cabo Verde,3.459844642388208,,1.505149978319906,,3.3279716236230104,Africa,1
Cambodia,2.424881636631067,1.1760912590556813,,,2.342422680822206,Asia,0
Cameroon,4.256284678484161,,2.59659709562646,,4.185258765296585,Africa,1
Canada,5.07965870742208,,3.9536147416906404,,5.026757911929069,North America,0
Caribbean Netherlands,1.1139433523068367,,,,0.8450980400142568,North America,0
Cayman Islands,2.307496037913213,,0.0,,2.305351369446624,North America,1
Central African Republic,3.66661156841903,,1.7781512503836436,,3.2357808703275603,Africa,1
Chad,2.975431808509263,,1.8808135922807914,,2.9258275746247424,Africa,1
Channel Islands,2.7774268223893115,,1.6720978579357175,,2.7363965022766426,Europe,1
Chile,5.5740822219576724,,4.005995123054691,,5.54075730063123,South America,1
China,4.927944935296962,1.6434526764861874,3.6659560294539566,,4.8991855528559425,Asia,1
Colombia,5.599471497667389,,4.119057837523237,,5.345344319101676,South America,1
Comoros,2.6009728956867484,,0.8450980400142568,,2.56702636615906,Africa,1
Costa Rica,4.3778888057925744,,2.387389826338729,,3.8933733302460247,North America,1
Croatia,3.7589118923979736,1.9590413923210936,2.2041199826559246,0.3010299956639812,3.6956567599361905,Europe,1
Cuba,3.4837298990000236,,1.9444826721501687,,3.3909351071033793,North America,1
Curaçao,1.505149978319906,,0.0,,1.4771212547196624,North America,1
Cyprus,3.097604328874411,,1.2787536009528289,,2.9395192526186187,Asia,1
Czechia,4.267030853292765,,2.591064607026499,,4.113375057094903,Europe,1
DR Congo,3.9776778876739938,1.0,2.3521825181113627,0.0,3.9229848157088827,Africa,1
Denmark,4.1749025621783264,2.1583624920952498,2.79309160017658,0.0,4.113542279953964,Europe,1
Djibouti,3.728110184100341,,1.7708520116421442,,3.709269960975831,Africa,1
Dominica,1.255272505103306,,,,1.255272505103306,North America,0
Dominican Republic,4.905790485371851,,3.1231980750319988,,4.6523430550627145,North America,1
Ecuador,4.976354564982037,,3.7732011423563443,,4.8954667467907464,South America,1
Egypt,4.980757615561402,,3.7019994748896368,,4.730612722422061,Africa,1
El Salvador,4.327747071252456,2.598790506763115,2.7558748556724915,0.8450980400142568,3.9945371042984976,North America,1
Equatorial Guinea,3.683137131483007,,1.919078092376074,,3.338854746252323,Africa,1
Eritrea,2.45484486000851,,,,2.3944516808262164,Africa,0
Estonia,3.335858911319818,0.9542425094393249,1.7993405494535817,,3.2940250940953226,Europe,1
Eswatini,3.519696767159853,,1.7853298350107671,,3.2132520521963968,Africa,1
Ethiopia,4.372746350604846,,2.6232492903979003,,4.017492446477275,Africa,1
Falkland Islands,1.1139433523068367,,,,1.1139433523068367,South America,0
Faroe Islands,2.5024271199844326,1.0791812460476249,,,2.3521825181113627,Europe,0
Fiji,1.4313637641589874,,0.0,,1.255272505103306,Australia/Oceania,1
Finland,3.882125919770032,1.3424226808222062,2.5224442335063197,,3.843855422623161,Europe,1
France,5.3070144100729415,,4.482015576450712,,4.918219119435931,Europe,0
French Guiana,3.9203320715395895,,1.6901960800285136,,3.877889425371484,South America,1
French Polynesia,2.0492180226701815,,,,1.792391689498254,Australia/Oceania,0
Gabon,3.9034155857690864,,1.7075701760979363,,3.7651467901080253,Africa,1
Gambia,3.1290450598879582,2.0453229787866576,1.505149978319906,0.9542425094393249,2.3560258571931225,Africa,1
Georgia,3.1017470739463664,1.146128035678238,1.2304489213782739,,3.022840610876528,Asia,1
Germany,5.339479267063733,1.146128035678238,3.966845423654916,,5.298634783124435,Europe,1
Ghana,4.61502369115374,,2.3324384599156054,,4.58801385552188,Africa,1
Gibraltar,2.305351369446624,0.0,,,2.271841606536499,Europe,0
Greece,3.759592308645975,,2.3283796034387376,,3.5802405082653763,Europe,1
Greenland,1.146128035678238,,,,1.146128035678238,North America,0
Grenada,1.380211241711606,,,,1.3617278360175928,North America,0
Guadeloupe,2.5010592622177517,,1.146128035678238,,2.2695129442179165,North America,1
Guatemala,4.755775794756962,,3.346744054604849,,4.658860066006634,North America,1
Guinea,3.8992731873176036,,1.6989700043360187,,3.838723190031372,Africa,1
Guinea-Bissau,3.3197304943302246,1.5563025007672873,1.462397997898956,,3.0064660422492318,Africa,1
Guyana,2.754348335711019,,1.3424226808222062,,2.2764618041732443,South America,1
Haiti,3.8836046609222925,1.1760912590556813,2.2624510897304293,,3.6974037232004875,North America,1
Honduras,4.680081571848349,2.621176281775035,3.177824971864682,1.0413926851582251,3.8227563329513905,North America,1
Hong Kong,3.621384028481653,1.5185139398778875,1.7634279935629373,0.47712125471966244,3.484584529282843,Asia,1
Hungary,3.6763277338813203,1.1760912590556813,2.781755374652469,,3.5474054596674898,Europe,1
Iceland,3.2940250940953226,0.7781512503836436,1.0,,3.2657609167176105,Europe,1
India,6.3573994587079,4.001647191346038,4.657591216378861,2.012837224705172,6.2010230329694975,Asia,1
Indonesia,5.1098349310456905,3.2286569581089353,3.765221366304981,1.7708520116421442,4.922777341928798,Asia,1
Iran,5.520075903841602,3.370142847051102,4.27415784926368,2.2648178230095364,5.460326422352367,Asia,1
Iraq,5.195885821154534,3.530967681571915,3.7428036584691657,1.8260748027008264,5.0496133608662985,Asia,1
Ireland,4.427615923618319,,3.248463717551032,,4.368547197567657,Europe,1
Isle of Man,2.526339277389844,,1.380211241711606,,2.494154594018443,Europe,1
Israel,4.9312238785523546,2.800717078282385,2.791690649020118,0.7781512503836436,4.778288755199132,Asia,1
Italy,5.399370820918436,,4.546653690487702,,5.305884235632846,Europe,1
Ivory Coast,4.225257576924099,,2.0211892990699383,,4.115677065115837,Africa,1
Jamaica,3.0132586652835167,0.9030899869919435,1.146128035678238,,2.8721562727482928,North America,1
Japan,4.681150749932422,,3.0199466816788423,,4.519276575332284,Asia,1
Jordan,3.1031192535457137,,1.0413926851582251,,3.074450718954591,Asia,1
Kazakhstan,5.000711659548867,2.858537197569639,3.103461622094705,1.3617278360175928,4.867479273166766,Asia,1
Kenya,4.438146636246748,2.696356388733332,2.6414741105040997,1.1760912590556813,4.141982515552804,Africa,0
Kuwait,4.863727220102147,2.824776462475546,2.6866362692622934,0.6020599913279624,4.811300133814581,Asia,1
Kyrgyzstan,4.606972205508573,2.444044795918076,3.1696744340588068,0.6020599913279624,4.514999078078681,Asia,1
Laos,1.3010299956639813,,,,1.2787536009528289,Asia,0
Latvia,3.111598524880394,0.47712125471966244,1.505149978319906,,3.03261876085072,Europe,1
Lebanon,3.8332746392905634,,1.9030899869919435,,3.359835482339888,Asia,1
